,host_name,host_since,neighbourhood,property_type,room_type,price
1321,Steve,2015-09-05,Neighborhood highlights,Private room in rental unit,Private room,$93.00
1322,Steve,2015-09-05,Neighborhood highlights,Private room in rental unit,Private room,$28.00
1323,Steve,2015-09-05,Neighborhood highlights,Private room in rental unit,Private room,$60.00
1324,Delphine,2014-07-24,,Entire rental unit,Entire home/apt,$823.00
1325,Delphine,2014-07-24,,Entire rental unit,Entire home/apt,$680.00
1326,Delphine,2014-07-24,,Entire rental unit,Entire home/apt,$680.00
1327,Delphine,2014-07-24,,Entire rental unit,Entire home/apt,"$1,141.00"
1328,John,2019-06-30,,Entire rental unit,Entire home/apt,$450.00
1329,,,,Entire rental unit,Entire home/apt,$945.00
1330,Taskin,2014-05-05,,Private room in home,Private room,$93.00
1331,Taskin,2014-05-05,,Private room in home,Private room,$95.00
1332,Jennifer,2016-05-08,,Entire home,Entire home/apt,$616.00
1333,Tra My,2023-02-20,,Entire rental unit,Entire home/apt,$514.00
1334,Tejas,2022-06-21,,Entire home,Entire home/apt,$288.00
1335,Blueground,2016-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$254.00
1336,Aishat,2024-10-16,Neighborhood highlights,Room in hotel,Hotel room,$222.00
1337,Tina,2023-08-22,,Private room in rental unit,Private room,$60.00
1338,Tina,2023-08-22,,Private room in rental unit,Private room,$66.00
1339,Tina,2023-08-22,,Private room in rental unit,Private room,$53.00
1340,Steve,2015-09-05,,Entire rental unit,Entire home/apt,$119.00
1341,Anh,2025-04-10,,Entire home,Entire home/apt,$362.00
1342,Helen,2025-04-11,,Entire rental unit,Entire home/apt,$87.00
1343,Steve,2015-09-05,,Entire rental unit,Entire home/apt,$142.00
1344,Jean Manuel,2014-08-10,,Private room in rental unit,Private room,$112.00
1345,Haroldo,2022-06-09,Neighborhood highlights,Entire rental unit,Entire home/apt,$255.00
